Country,Cases,Daily Cases,Case Inc,3-day Case Inc, 7-day Case inc,+/- Case %, Cases per 1k,Deaths,Daily Deaths,Death Inc,3-day Death Inc, 7-day Death inc,+/- Deaths %, Deaths per 1k,Mortality,Delayed Mortality,Population 2018
HTI,8,0,0,4.16667,14.4388,-10.2721,0.000719219,	0,0,0,0,0,0,0,	0,0,	11123176
HUN,408,65,15.9314,18.2926,17.9658,0.326802,0.0417657,	13,2,15.3846,8.15851,14.2618,-6.1033,0.00133077,	3.07692,26,	9768785
IDN,1155,109,9.43723,16.2544,17.0531,-0.798737,0.00431512,	102,15,14.7059,18.6214,17.694,0.927395,0.000381076,	13.7615,59.3023,	267663435
IMN,32,3,9.375,10.4194,29.9074,-19.488,0.380603,	0,0,0,0,0,0,0,	0,0,	84077
IND,978,106,10.8384,17.2417,18.5808,-1.33915,0.000723043,	25,6,24,29.6083,21.9863,7.62199,1.84827e-05,	5.66038,18.3824,	1352617328
IRL,2415,294,12.1739,18.4856,16.6603,1.82525,0.497578,	36,14,38.8889,42.4597,28.5712,13.8885,0.00741732,	4.7619,12.3288,	4853506
IRN,35408,3076,8.6873,11.3422,8.09828,3.24391,0.432859,	2517,139,5.52245,8.49688,7.7669,0.729978,0.0307701,	4.51886,15.5668,	81800269
IRQ,506,48,9.48617,14.7249,12.9101,1.81474,0.0131656,	42,2,4.7619,13.701,14.5155,-0.814498,0.00109279,	4.16667,27.2727,	38433600
ISL,963,73,7.58048,12.5496,11.5094,1.04026,2.72362,	2,0,0,0,7.14286,-7.14286,0.00565652,	0,0.809717,	353574
ISR,3619,584,16.1371,19.3222,20.8427,-1.52056,0.407371,	12,2,16.6667,38.0556,25.8333,12.2222,0.00135077,	0.342466,2.8103,	8883800
ITA,92472,5974,6.46033,9.3311,9.24464,0.0864532,1.5302,	10023,887,8.84965,12.2295,12.2563,-0.026829,0.165858,	14.8477,31.813,	60431283
JAM,32,6,18.75,12.8654,6.87428,5.9911,0.0109034,	1,0,0,0,14.2857,-14.2857,0.000340732,	0,7.69231,	2934855
JEY,61,9,14.7541,32.3219,19.0903,13.2315,0.571161,	1,0,0,33.3333,14.2857,19.0476,0.0093633,	0,0,	106800
JOR,235,23,9.78723,18.8984,16.1603,2.7381,0.0236038,	1,1,100,33.3333,14.2857,19.0476,0.000100442,	4.34783,2.85714,	9956011
JPN,1688,194,11.4929,11.1771,7.16981,4.00728,0.0133408,	52,3,5.76923,6.17001,5.45564,0.714374,0.000410973,	1.54639,6.31068,	126529100
KAZ,229,36,15.7205,30.1461,18.1724,11.9737,0.0125298,	0,0,0,0,0,0,0,	0,0,	18276499
KEN,38,7,18.4211,12.592,19.0513,-6.45935,0.0007394,	1,0,0,33.3333,14.2857,19.0476,1.94579e-05,	0,25,	51393010
KGZ,84,26,30.9524,19.8786,27.3119,-7.43332,0.0133,	0,0,0,0,0,0,0,	0,0,	6315800
KHM,103,1,0.970874,4.0472,9.46106,-5.41386,0.00633854,	0,0,0,0,0,0,0,	0,0,	16249798
KNA,2,0,0,33.3333,14.2857,19.0476,0.0381381,	0,0,0,0,0,0,0,	0,0,	52441
KOR,9575,105,1.09661,1.58023,1.21359,0.366635,0.185435,	152,8,5.26316,6.10252,5.40414,0.698388,0.00294373,	7.61905,1.80845,	51635256
KWT,235,10,4.25532,6.70405,5.39006,1.31399,0.0568002,	0,0,0,0,0,0,0,	0,0,	4137309
